sigma,theta,kai,inv_zeta,mu,phi_o_y,gamma_w,ksi_w,gamma_p,ksi_p,phi_r,phi_pi,phi_y,z_star_bar,psi_bar,eta,n_k,mu_E,r_E_bar,rho_b,rho_g,rho_w,rho_p,rho_r,rho_nu,rho_z,rho_psi,rho_i,rho_efp,rho_nw,sigma_b,sigma_g,sigma_w,sigma_p,sigma_r,sigma_nu,sigma_z,sigma_psi,sigma_i,sigma_efp,sigma_nw
1.197321,0.332801,3.580780,0.546279,1.168521,0.338037,0.314540,0.396071,0.748737,0.502272,0.499389,1.935869,0.083340,0.343528,0.429044,0.000000,0.000000,0.000000,0.000000,0.890417,0.890617,0.228190,0.966276,0.363684,0.890842,0.046763,0.119787,0.877741,0.000000,0.000000,1.672063,1.031368,0.769436,0.564211,0.464620,0.511707,1.421244,0.535497,1.458303,0.000000,0.000000
1.163829,0.333654,3.508056,0.554007,1.159198,0.335606,0.313664,0.394178,0.748207,0.498974,0.508448,1.938252,0.083397,0.336422,0.424226,0.000000,0.000000,0.000000,0.000000,0.886520,0.897439,0.226838,0.986534,0.362987,0.891629,0.045899,0.117787,0.882064,0.000000,0.000000,1.672636,1.028925,0.777681,0.560838,0.467816,0.505546,1.408444,0.535422,1.454300,0.000000,0.000000
1.163829,0.333654,3.508056,0.554007,1.159198,0.335606,0.313664,0.394178,0.748207,0.498974,0.508448,1.938252,0.083397,0.336422,0.424226,0.000000,0.000000,0.000000,0.000000,0.886520,0.897439,0.226838,0.986534,0.362987,0.891629,0.045899,0.117787,0.882064,0.000000,0.000000,1.672636,1.028925,0.777681,0.560838,0.467816,0.505546,1.408444,0.535422,1.454300,0.000000,0.000000
1.163829,0.333654,3.508056,0.554007,1.159198,0.335606,0.313664,0.394178,0.748207,0.498974,0.508448,1.938252,0.083397,0.336422,0.424226,0.000000,0.000000,0.000000,0.000000,0.886520,0.897439,0.226838,0.986534,0.362987,0.891629,0.045899,0.117787,0.882064,0.000000,0.000000,1.672636,1.028925,0.777681,0.560838,0.467816,0.505546,1.408444,0.535422,1.454300,0.000000,0.000000
1.163829,0.333654,3.508056,0.554007,1.159198,0.335606,0.313664,0.394178,0.748207,0.498974,0.508448,1.938252,0.083397,0.336422,0.424226,0.000000,0.000000,0.000000,0.000000,0.886520,0.897439,0.226838,0.986534,0.362987,0.891629,0.045899,0.117787,0.882064,0.000000,0.000000,1.672636,1.028925,0.777681,0.560838,0.467816,0.505546,1.408444,0.535422,1.454300,0.000000,0.000000
1.150076,0.331674,3.496663,0.549344,1.175601,0.332126,0.316571,0.397777,0.740302,0.499012,0.508839,1.941889,0.084402,0.339292,0.418548,0.000000,0.000000,0.000000,0.000000,0.891308,0.887256,0.228341,0.979722,0.367140,0.899949,0.046043,0.117838,0.887606,0.000000,0.000000,1.679966,1.031312,0.771616,0.565717,0.472859,0.504619,1.390049,0.536786,1.471689,0.000000,0.000000
1.176216,0.334435,3.503790,0.553053,1.174120,0.332138,0.315590,0.395339,0.736577,0.492552,0.503086,1.937475,0.085094,0.343638,0.419924,0.000000,0.000000,0.000000,0.000000,0.898994,0.886663,0.227743,0.978924,0.359746,0.913232,0.045722,0.118886,0.902128,0.000000,0.000000,1.672402,1.028001,0.767629,0.564685,0.474783,0.503815,1.392297,0.541720,1.452493,0.000000,0.000000
1.193280,0.332679,3.535626,0.557018,1.167740,0.331025,0.315965,0.396804,0.725204,0.480858,0.501651,1.919001,0.083471,0.344168,0.420978,0.000000,0.000000,0.000000,0.000000,0.896437,0.879417,0.225615,0.974562,0.358190,0.901407,0.046199,0.122893,0.911534,0.000000,0.000000,1.672804,1.028396,0.758284,0.566191,0.460249,0.504462,1.394775,0.540839,1.443040,0.000000,0.000000
1.193280,0.332679,3.535626,0.557018,1.167740,0.331025,0.315965,0.396804,0.725204,0.480858,0.501651,1.919001,0.083471,0.344168,0.420978,0.000000,0.000000,0.000000,0.000000,0.896437,0.879417,0.225615,0.974562,0.358190,0.901407,0.046199,0.122893,0.911534,0.000000,0.000000,1.672804,1.028396,0.758284,0.566191,0.460249,0.504462,1.394775,0.540839,1.443040,0.000000,0.000000
1.193280,0.332679,3.535626,0.557018,1.167740,0.331025,0.315965,0.396804,0.725204,0.480858,0.501651,1.919001,0.083471,0.344168,0.420978,0.000000,0.000000,0.000000,0.000000,0.896437,0.879417,0.225615,0.974562,0.358190,0.901407,0.046199,0.122893,0.911534,0.000000,0.000000,1.672804,1.028396,0.758284,0.566191,0.460249,0.504462,1.394775,0.540839,1.443040,0.000000,0.000000
