sigma,theta,kai,inv_zeta,mu,phi_o_y,gamma_w,ksi_w,gamma_p,ksi_p,phi_r,phi_pi,phi_y,z_star_bar,psi_bar,eta,n_k,mu_E,r_E_bar,rho_b,rho_g,rho_w,rho_p,rho_r,rho_nu,rho_z,rho_psi,rho_i,rho_efp,rho_nw,sigma_b,sigma_g,sigma_w,sigma_p,sigma_r,sigma_nu,sigma_z,sigma_psi,sigma_i,sigma_efp,sigma_nw
0.780968,0.400804,2.033157,0.431919,1.949469,0.992911,0.490605,0.450877,0.824267,0.378734,0.450208,1.840097,0.088297,0.287973,0.413230,0.986474,0.586364,0.030445,1.192056,0.715926,0.906356,0.104957,0.480663,0.389163,0.818318,0.166367,0.137328,0.967713,0.914507,0.686046,1.166915,0.963495,0.633674,0.585348,0.644889,0.521283,0.719278,0.504467,2.091982,0.365709,1.009508
0.780968,0.400804,2.033157,0.431919,1.949469,0.992911,0.490605,0.450877,0.824267,0.378734,0.450208,1.840097,0.088297,0.287973,0.413230,0.986474,0.586364,0.030445,1.192056,0.715926,0.906356,0.104957,0.480663,0.389163,0.818318,0.166367,0.137328,0.967713,0.914507,0.686046,1.166915,0.963495,0.633674,0.585348,0.644889,0.521283,0.719278,0.504467,2.091982,0.365709,1.009508
0.780968,0.400804,2.033157,0.431919,1.949469,0.992911,0.490605,0.450877,0.824267,0.378734,0.450208,1.840097,0.088297,0.287973,0.413230,0.986474,0.586364,0.030445,1.192056,0.715926,0.906356,0.104957,0.480663,0.389163,0.818318,0.166367,0.137328,0.967713,0.914507,0.686046,1.166915,0.963495,0.633674,0.585348,0.644889,0.521283,0.719278,0.504467,2.091982,0.365709,1.009508
0.783456,0.401318,2.042488,0.430357,1.941917,0.994396,0.492062,0.451718,0.824062,0.377788,0.451439,1.842977,0.087939,0.287641,0.413489,0.979872,0.591454,0.030643,1.200737,0.713252,0.908684,0.104899,0.482107,0.389337,0.819883,0.167114,0.137022,0.971528,0.910636,0.687759,1.167931,0.967754,0.635513,0.583315,0.645616,0.520718,0.722309,0.503431,2.081153,0.366142,1.007532
0.783456,0.401318,2.042488,0.430357,1.941917,0.994396,0.492062,0.451718,0.824062,0.377788,0.451439,1.842977,0.087939,0.287641,0.413489,0.979872,0.591454,0.030643,1.200737,0.713252,0.908684,0.104899,0.482107,0.389337,0.819883,0.167114,0.137022,0.971528,0.910636,0.687759,1.167931,0.967754,0.635513,0.583315,0.645616,0.520718,0.722309,0.503431,2.081153,0.366142,1.007532
0.785000,0.402558,2.044583,0.430963,1.938852,0.992953,0.491405,0.451217,0.824031,0.376805,0.450760,1.845953,0.088357,0.287446,0.415388,0.969695,0.590479,0.030747,1.193861,0.710658,0.911267,0.105121,0.484058,0.389515,0.816696,0.167221,0.137884,0.978047,0.909801,0.691263,1.165053,0.962524,0.634670,0.585421,0.644418,0.524755,0.720801,0.502805,2.081407,0.365033,1.007035
0.785000,0.402558,2.044583,0.430963,1.938852,0.992953,0.491405,0.451217,0.824031,0.376805,0.450760,1.845953,0.088357,0.287446,0.415388,0.969695,0.590479,0.030747,1.193861,0.710658,0.911267,0.105121,0.484058,0.389515,0.816696,0.167221,0.137884,0.978047,0.909801,0.691263,1.165053,0.962524,0.634670,0.585421,0.644418,0.524755,0.720801,0.502805,2.081407,0.365033,1.007035
0.784269,0.404436,2.045237,0.430682,1.946763,0.987955,0.492912,0.450032,0.823091,0.378755,0.452050,1.850164,0.088002,0.287904,0.417323,0.973804,0.591091,0.030934,1.189796,0.711327,0.916099,0.105209,0.487742,0.390116,0.821190,0.167755,0.137241,0.978458,0.907517,0.691572,1.169988,0.964091,0.636480,0.587759,0.643174,0.528271,0.717405,0.500749,2.079086,0.364872,1.009216
0.784269,0.404436,2.045237,0.430682,1.946763,0.987955,0.492912,0.450032,0.823091,0.378755,0.452050,1.850164,0.088002,0.287904,0.417323,0.973804,0.591091,0.030934,1.189796,0.711327,0.916099,0.105209,0.487742,0.390116,0.821190,0.167755,0.137241,0.978458,0.907517,0.691572,1.169988,0.964091,0.636480,0.587759,0.643174,0.528271,0.717405,0.500749,2.079086,0.364872,1.009216
0.784269,0.404436,2.045237,0.430682,1.946763,0.987955,0.492912,0.450032,0.823091,0.378755,0.452050,1.850164,0.088002,0.287904,0.417323,0.973804,0.591091,0.030934,1.189796,0.711327,0.916099,0.105209,0.487742,0.390116,0.821190,0.167755,0.137241,0.978458,0.907517,0.691572,1.169988,0.964091,0.636480,0.587759,0.643174,0.528271,0.717405,0.500749,2.079086,0.364872,1.009216
